Order;Group;Text;Description;Date;Notes
136;Don Miguel;Money 1;Coins as soldiers.;;
137;Don Miguel;Money 2;Value of documentation of failure.;;
138;Don Miguel;Money/Nation;Wolfie feed striking seamen with loaves and fishes.;1988;UK Seamen’s strike
139;Don Miguel;Recreation Field;Struldbrugg emotional development.;;Two G’s
140;Don Miguel;Struldbrugg; Struldbrugg memory decay.;;
141;Don Miguel;Superficial languagez;Race between languages.;;
142;Don Miguel;To each a task;Struldbrugg as sanitation engineer.;;
143;Don Miguel;Urgent;Don Miguel records his decision to apprentice Michael.;;
144;Wolfie;Source of income;Wolfie’s shameless begging.;;
145;Wolfie;Film + Tape;Film of Wolfie busking at Notting Hill Gate. Don Miguel slips through the crowd.;;
146;Wolfie;Film;Film of Wolfie writing an admonition on a steamed up window about human lack of inner light.;;
147;Wolfie;Rabbits 1;Wolfie reminiscing about his rabbit parents on Namanfin island in Lough Erne.;;
148;Wolfie;Rabbits 2;Wolfie reminiscing about meeting Bishop Wolfie.;16??;
149;Wolfie;Rabbits 3;Wolfie didn’t eat the rabbits. He didn’t need to eat.;24/04/1968;
150;Wolfie;Reich's Orgone Energy;Wolfie is made of orgone energy.;;
151;Wolfie;Down the drain;The joys of scavenging in the sewers.;;Original meaning of tosher.
152;Wolfie;Saint Francis;Wolfie thinks of the death of the wolf of Gubbio.;;
153;Wolfie;Tape 2;Tape recording of Michael singing outside Buckingham Palace and asking a police man if the queen has died.;;Mention of Radio Free Mosaic City.
154;Wolfie;Wolfie coin;Wolfie plans to use his coins to finance the Permissive Gallery.;;
155;Wolfie;Farts;A little song about farts.;;
156;Wolfie;Lambkin;A note about Wolfie’s fleece.;;
